Token<Keyword : "namespace", Line: 12, Char: 0>
Token<Symbol : ")", Line: 35, Char: 309815376>
Token<Symbol : "\", Line: 35, Char: 309815376>
Token<Symbol : ")", Line: 35, Char: 309815376>
Token<Symbol : ";", Line: 35, Char: 309815376>
Token<Symbol : "}", Line: 36, Char: 309815376>
Token<Keyword : "axiom", Line: 38, Char: 0>
Token<Identifier : "modus_ponens", Line: 39, Char: 0>
Token<Symbol : "(", Line: 39, Char: 309815376>
Token<Identifier : "phi", Line: 39, Char: 0>
Token<Symbol : ",", Line: 39, Char: 309815376>
Token<Identifier : "psi", Line: 39, Char: 0>
Token<Symbol : ")", Line: 39, Char: 309815376>
Token<Symbol : "{", Line: 40, Char: 309815376>
Token<Keyword : "assume", Line: 41, Char: 0>
Token<Identifier : "is_formula", Line: 41, Char: 0>
Token<Symbol : "(", Line: 41, Char: 309815376>
Token<Symbol : "\", Line: 41, Char: 309815376>
Token<Symbol : "$", Line: 41, Char: 309815376>
Token<Identifier : "phi", Line: 41, Char: 0>
Token<Symbol : "\", Line: 41, Char: 309815376>
Token<Symbol : ")", Line: 41, Char: 309815376>
Token<Symbol : ";", Line: 41, Char: 309815376>
Token<Keyword : "assume", Line: 42, Char: 0>
Token<Identifier : "is_formula", Line: 42, Char: 0>
Token<Symbol : "(", Line: 42, Char: 309815376>
Token<Symbol : "\", Line: 42, Char: 309815376>
Token<Symbol : "$", Line: 42, Char: 309815376>
Token<Identifier : "psi", Line: 42, Char: 0>
Token<Symbol : "\", Line: 42, Char: 309815376>
Token<Symbol : ")", Line: 42, Char: 309815376>
Token<Symbol : ";", Line: 42, Char: 309815376>
Token<Keyword : "assume", Line: 44, Char: 0>
Token<Identifier : "has_proof", Line: 44, Char: 0>
Token<Symbol : "(", Line: 44, Char: 309815376>
Token<Symbol : "\", Line: 44, Char: 309815376>
Token<Symbol : "$", Line: 44, Char: 309815376>
Token<Identifier : "phi", Line: 44, Char: 0>
Token<Symbol : "\", Line: 44, Char: 309815376>
Token<Symbol : ")", Line: 44, Char: 309815376>
Token<Symbol : ";", Line: 44, Char: 309815376>
Token<Keyword : "assume", Line: 45, Char: 0>
Token<Identifier : "has_proof", Line: 45, Char: 0>
Token<Symbol : "(", Line: 45, Char: 309815376>
Token<Symbol : "\", Line: 45, Char: 309815376>
Token<Symbol : "(", Line: 45, Char: 309815376>
Token<Symbol : "$", Line: 45, Char: 309815376>
Token<Identifier : "phi", Line: 45, Char: 0>
Token<Identifier : "implies", Line: 45, Char: 0>
Token<Symbol : "$", Line: 45, Char: 309815376>
Token<Identifier : "psi", Line: 45, Char: 0>
Token<Symbol : ")", Line: 45, Char: 309815376>
Token<Symbol : "\", Line: 45, Char: 309815376>
Token<Symbol : ")", Line: 45, Char: 309815376>
Token<Symbol : ";", Line: 45, Char: 309815376>
Token<Keyword : "infer", Line: 47, Char: 0>
Token<Identifier : "has_proof", Line: 47, Char: 0>
Token<Symbol : "(", Line: 47, Char: 309815376>
Token<Symbol : "\", Line: 47, Char: 309815376>
Token<Symbol : "$", Line: 47, Char: 309815376>
Token<Identifier : "psi", Line: 47, Char: 0>
Token<Symbol : "\", Line: 47, Char: 309815376>
Token<Symbol : ")", Line: 47, Char: 309815376>
Token<Symbol : ";", Line: 47, Char: 309815376>
Token<Symbol : "}", Line: 48, Char: 309815376>
Token<Keyword : "axiom", Line: 50, Char: 0>
Token<Identifier : "_simplification", Line: 51, Char: 0>
Token<Symbol : "(", Line: 51, Char: 309815376>
Token<Identifier : "phi", Line: 51, Char: 0>
Token<Symbol : ",", Line: 51, Char: 309815376>
Token<Identifier : "psi", Line: 51, Char: 0>
Token<Symbol : ")", Line: 51, Char: 309815376>
Token<Symbol : "{", Line: 52, Char: 309815376>
Token<Keyword : "assume", Line: 53, Char: 0>
Token<Identifier : "is_formula", Line: 53, Char: 0>
Token<Symbol : "(", Line: 53, Char: 309815376>
Token<Symbol : "\", Line: 53, Char: 309815376>
Token<Symbol : "$", Line: 53, Char: 309815376>
Token<Identifier : "phi", Line: 53, Char: 0>
Token<Symbol : "\", Line: 53, Char: 309815376>
Token<Symbol : ")", Line: 53, Char: 309815376>
Token<Symbol : ";", Line: 53, Char: 309815376>
Token<Keyword : "assume", Line: 54, Char: 0>
Token<Identifier : "is_formula", Line: 54, Char: 0>
Token<Symbol : "(", Line: 54, Char: 309815376>
Token<Symbol : "\", Line: 54, Char: 309815376>
Token<Symbol : "$", Line: 54, Char: 309815376>
Token<Identifier : "psi", Line: 54, Char: 0>
Token<Symbol : "\", Line: 54, Char: 309815376>
Token<Symbol : ")", Line: 54, Char: 309815376>
Token<Symbol : ";", Line: 54, Char: 309815376>
Token<Keyword : "infer", Line: 56, Char: 0>
Token<Identifier : "has_proof", Line: 56, Char: 0>
Token<Symbol : "(", Line: 56, Char: 309815376>
Token<Symbol : "\", Line: 56, Char: 309815376>
Token<Symbol : "(", Line: 56, Char: 309815376>
Token<Symbol : "$", Line: 56, Char: 309815376>
Token<Identifier : "phi", Line: 56, Char: 0>
Token<Identifier : "implies", Line: 56, Char: 0>
Token<Symbol : "(", Line: 56, Char: 309815376>
Token<Symbol : "$", Line: 56, Char: 309815376>
Token<Identifier : "psi", Line: 56, Char: 0>
Token<Identifier : "implies", Line: 56, Char: 0>
Token<Symbol : "$", Line: 56, Char: 309815376>
Token<Identifier : "phi", Line: 56, Char: 0>
Token<Symbol : ")", Line: 56, Char: 309815376>
Token<Symbol : ")", Line: 56, Char: 309815376>
Token<Symbol : "\", Line: 56, Char: 309815376>
Token<Symbol : ")", Line: 56, Char: 309815376>
Token<Symbol : ";", Line: 56, Char: 309815376>
Token<Symbol : "}", Line: 57, Char: 309815376>
Token<Keyword : "theorem", Line: 59, Char: 0>
Token<Identifier : "simplification", Line: 60, Char: 0>
Token<Symbol : "(", Line: 60, Char: 309815376>
Token<Identifier : "phi", Line: 60, Char: 0>
Token<Symbol : ",", Line: 60, Char: 309815376>
Token<Identifier : "psi", Line: 60, Char: 0>
Token<Symbol : ")", Line: 60, Char: 309815376>
Token<Symbol : "{", Line: 61, Char: 309815376>
Token<Keyword : "assume", Line: 62, Char: 0>
Token<Identifier : "is_formula", Line: 62, Char: 0>
Token<Symbol : "(", Line: 62, Char: 309815376>
Token<Symbol : "\", Line: 62, Char: 309815376>
Token<Symbol : "$", Line: 62, Char: 309815376>
Token<Identifier : "phi", Line: 62, Char: 0>
Token<Symbol : "\", Line: 62, Char: 309815376>
Token<Symbol : ")", Line: 62, Char: 309815376>
Token<Symbol : ";", Line: 62, Char: 309815376>
Token<Keyword : "assume", Line: 63, Char: 0>
Token<Identifier : "is_formula", Line: 63, Char: 0>
Token<Symbol : "(", Line: 63, Char: 309815376>
Token<Symbol : "\", Line: 63, Char: 309815376>
Token<Symbol : "$", Line: 63, Char: 309815376>
Token<Identifier : "psi", Line: 63, Char: 0>
Token<Symbol : "\", Line: 63, Char: 309815376>
Token<Symbol : ")", Line: 63, Char: 309815376>
Token<Symbol : ";", Line: 63, Char: 309815376>
Token<Keyword : "infer", Line: 65, Char: 0>
Token<Identifier : "has_proof", Line: 65, Char: 0>
Token<Symbol : "(", Line: 65, Char: 309815376>
Token<Symbol : "\", Line: 65, Char: 309815376>
Token<Symbol : "(", Line: 65, Char: 309815376>
Token<Symbol : "$", Line: 65, Char: 309815376>
Token<Identifier : "phi", Line: 65, Char: 0>
Token<Identifier : "implies", Line: 65, Char: 0>
Token<Symbol : "(", Line: 65, Char: 309815376>
Token<Symbol : "$", Line: 65, Char: 309815376>
Token<Identifier : "psi", Line: 65, Char: 0>
Token<Identifier : "implies", Line: 65, Char: 0>
Token<Symbol : "$", Line: 65, Char: 309815376>
Token<Identifier : "phi", Line: 65, Char: 0>
Token<Symbol : ")", Line: 65, Char: 309815376>
Token<Symbol : ")", Line: 65, Char: 309815376>
Token<Symbol : "\", Line: 65, Char: 309815376>
Token<Symbol : ")", Line: 65, Char: 309815376>
Token<Symbol : ";", Line: 65, Char: 309815376>
Token<Keyword : "infer", Line: 66, Char: 0>
Token<Identifier : "is_formula", Line: 66, Char: 0>
Token<Symbol : "(", Line: 66, Char: 309815376>
Token<Symbol : "\", Line: 66, Char: 309815376>
Token<Symbol : "(", Line: 66, Char: 309815376>
Token<Symbol : "$", Line: 66, Char: 309815376>
Token<Identifier : "psi", Line: 66, Char: 0>
Token<Identifier : "implies", Line: 66, Char: 0>
Token<Symbol : "$", Line: 66, Char: 309815376>
Token<Identifier : "phi", Line: 66, Char: 0>
Token<Symbol : ")", Line: 66, Char: 309815376>
Token<Symbol : "\", Line: 66, Char: 309815376>
Token<Symbol : ")", Line: 66, Char: 309815376>
Token<Symbol : ";", Line: 66, Char: 309815376>
Token<Keyword : "infer", Line: 67, Char: 0>
Token<Identifier : "is_formula", Line: 67, Char: 0>
Token<Symbol : "(", Line: 67, Char: 309815376>
Token<Symbol : "\", Line: 67, Char: 309815376>
Token<Symbol : "(", Line: 67, Char: 309815376>
Token<Symbol : "$", Line: 67, Char: 309815376>
Token<Identifier : "phi", Line: 67, Char: 0>
Token<Identifier : "implies", Line: 67, Char: 0>
Token<Symbol : "(", Line: 67, Char: 309815376>
Token<Symbol : "$", Line: 67, Char: 309815376>
Token<Identifier : "psi", Line: 67, Char: 0>
Token<Identifier : "implies", Line: 67, Char: 0>
Token<Symbol : "$", Line: 67, Char: 309815376>
Token<Identifier : "phi", Line: 67, Char: 0>
Token<Symbol : ")", Line: 67, Char: 309815376>
Token<Symbol : ")", Line: 67, Char: 309815376>
Token<Symbol : "\", Line: 67, Char: 309815376>
Token<Symbol : ")", Line: 67, Char: 309815376>
Token<Symbol : ";", Line: 67, Char: 309815376>
Token<Keyword : "step", Line: 69, Char: 0>
Token<Identifier : "_simplification", Line: 69, Char: 0>
Token<Symbol : "(", Line: 69, Char: 309815376>
Token<Symbol : "\", Line: 69, Char: 309815376>
Token<Symbol : "$", Line: 69, Char: 309815376>
Token<Identifier : "phi", Line: 69, Char: 0>
Token<Symbol : "\", Line: 69, Char: 309815376>
Token<Symbol : ",", Line: 69, Char: 309815376>
Token<Symbol : "\", Line: 69, Char: 309815376>
Token<Symbol : "$", Line: 69, Char: 309815376>
Token<Identifier : "psi", Line: 69, Char: 0>
Token<Symbol : "\", Line: 69, Char: 309815376>
Token<Symbol : ")", Line: 69, Char: 309815376>
Token<Symbol : ";", Line: 69, Char: 309815376>
Token<Keyword : "step", Line: 70, Char: 0>
Token<Identifier : "WF_implication", Line: 70, Char: 0>
Token<Symbol : "(", Line: 70, Char: 309815376>
Token<Symbol : "\", Line: 70, Char: 309815376>
Token<Symbol : "$", Line: 70, Char: 309815376>
Token<Identifier : "psi", Line: 70, Char: 0>
Token<Symbol : "\", Line: 70, Char: 309815376>
Token<Symbol : ",", Line: 70, Char: 309815376>
Token<Symbol : "\", Line: 70, Char: 309815376>
Token<Symbol : "$", Line: 70, Char: 309815376>
Token<Identifier : "phi", Line: 70, Char: 0>
Token<Symbol : "\", Line: 70, Char: 309815376>
Token<Symbol : ")", Line: 70, Char: 309815376>
Token<Symbol : ";", Line: 70, Char: 309815376>
Token<Keyword : "step", Line: 71, Char: 0>
Token<Identifier : "WF_implication", Line: 71, Char: 0>
Token<Symbol : "(", Line: 71, Char: 309815376>
Token<Symbol : "\", Line: 71, Char: 309815376>
Token<Symbol : "$", Line: 71, Char: 309815376>
Token<Identifier : "phi", Line: 71, Char: 0>
Token<Symbol : "\", Line: 71, Char: 309815376>
Token<Symbol : ",", Line: 71, Char: 309815376>
Token<Symbol : "\", Line: 71, Char: 309815376>
Token<Symbol : "(", Line: 71, Char: 309815376>
Token<Symbol : "$", Line: 71, Char: 309815376>
Token<Identifier : "psi", Line: 71, Char: 0>
Token<Identifier : "implies", Line: 71, Char: 0>
Token<Symbol : "$", Line: 71, Char: 309815376>
Token<Identifier : "phi", Line: 71, Char: 0>
Token<Symbol : ")", Line: 71, Char: 309815376>
Token<Symbol : "\", Line: 71, Char: 309815376>
Token<Symbol : ")", Line: 71, Char: 309815376>
Token<Symbol : ";", Line: 71, Char: 309815376>
Token<Symbol : "}", Line: 72, Char: 309815376>
Token<Keyword : "axiom", Line: 74, Char: 0>
Token<Identifier : "_distributive", Line: 75, Char: 0>
Token<Symbol : "(", Line: 75, Char: 309815376>
Token<Identifier : "phi", Line: 75, Char: 0>
Token<Symbol : ",", Line: 75, Char: 309815376>
Token<Identifier : "psi", Line: 75, Char: 0>
Token<Symbol : ",", Line: 75, Char: 309815376>
Token<Identifier : "chi", Line: 75, Char: 0>
Token<Symbol : ")", Line: 75, Char: 309815376>
Token<Symbol : "{", Line: 76, Char: 309815376>
Token<Keyword : "assume", Line: 77, Char: 0>
Token<Identifier : "is_formula", Line: 77, Char: 0>
Token<Symbol : "(", Line: 77, Char: 309815376>
Token<Symbol : "\", Line: 77, Char: 309815376>
Token<Symbol : "$", Line: 77, Char: 309815376>
Token<Identifier : "phi", Line: 77, Char: 0>
Token<Symbol : "\", Line: 77, Char: 309815376>
Token<Symbol : ")", Line: 77, Char: 309815376>
Token<Symbol : ";", Line: 77, Char: 309815376>
Token<Keyword : "assume", Line: 78, Char: 0>
Token<Identifier : "is_formula", Line: 78, Char: 0>
Token<Symbol : "(", Line: 78, Char: 309815376>
Token<Symbol : "\", Line: 78, Char: 309815376>
Token<Symbol : "$", Line: 78, Char: 309815376>
Token<Identifier : "psi", Line: 78, Char: 0>
Token<Symbol : "\", Line: 78, Char: 309815376>
Token<Symbol : ")", Line: 78, Char: 309815376>
Token<Symbol : ";", Line: 78, Char: 309815376>
Token<Keyword : "assume", Line: 79, Char: 0>
Token<Identifier : "is_formula", Line: 79, Char: 0>
Token<Symbol : "(", Line: 79, Char: 309815376>
Token<Symbol : "\", Line: 79, Char: 309815376>
Token<Symbol : "$", Line: 79, Char: 309815376>
Token<Identifier : "chi", Line: 79, Char: 0>
Token<Symbol : "\", Line: 79, Char: 309815376>
Token<Symbol : ")", Line: 79, Char: 309815376>
Token<Symbol : ";", Line: 79, Char: 309815376>
Token<Keyword : "infer", Line: 81, Char: 0>
Token<Identifier : "has_proof", Line: 81, Char: 0>
Token<Symbol : "(", Line: 81, Char: 309815376>
Token<Symbol : "\", Line: 81, Char: 309815376>
Token<Symbol : "(", Line: 81, Char: 309815376>
Token<Symbol : "(", Line: 81, Char: 309815376>
Token<Symbol : "$", Line: 81, Char: 309815376>
Token<Identifier : "phi", Line: 81, Char: 0>
Token<Identifier : "implies", Line: 81, Char: 0>
Token<Symbol : "(", Line: 81, Char: 309815376>
Token<Symbol : "$", Line: 81, Char: 309815376>
Token<Identifier : "psi", Line: 81, Char: 0>
Token<Identifier : "implies", Line: 81, Char: 0>
Token<Symbol : "$", Line: 81, Char: 309815376>
Token<Identifier : "chi", Line: 81, Char: 0>
Token<Symbol : ")", Line: 81, Char: 309815376>
Token<Symbol : ")", Line: 81, Char: 309815376>
Token<Identifier : "implies", Line: 81, Char: 0>
Token<Symbol : "(", Line: 82, Char: 309815376>
Token<Symbol : "(", Line: 82, Char: 309815376>
Token<Symbol : "$", Line: 82, Char: 309815376>
Token<Identifier : "phi", Line: 82, Char: 0>
Token<Identifier : "implies", Line: 82, Char: 0>
Token<Symbol : "$", Line: 82, Char: 309815376>
Token<Identifier : "psi", Line: 82, Char: 0>
Token<Symbol : ")", Line: 82, Char: 309815376>
Token<Identifier : "implies", Line: 82, Char: 0>
Token<Symbol : "(", Line: 82, Char: 309815376>
Token<Symbol : "$", Line: 82, Char: 309815376>
Token<Identifier : "phi", Line: 82, Char: 0>
Token<Identifier : "implies", Line: 82, Char: 0>
Token<Symbol : "$", Line: 82, Char: 309815376>
Token<Identifier : "chi", Line: 82, Char: 0>
Token<Symbol : ")", Line: 82, Char: 309815376>
Token<Symbol : ")", Line: 82, Char: 309815376>
Token<Symbol : ")", Line: 82, Char: 309815376>
Token<Symbol : "\", Line: 82, Char: 309815376>
Token<Symbol : ")", Line: 82, Char: 309815376>
Token<Symbol : ";", Line: 82, Char: 309815376>
Token<Symbol : "}", Line: 83, Char: 309815376>
Token<Keyword : "theorem", Line: 85, Char: 0>
Token<Identifier : "distributive", Line: 86, Char: 0>
Token<Symbol : "(", Line: 86, Char: 309815376>
Token<Identifier : "phi", Line: 86, Char: 0>
Token<Symbol : ",", Line: 86, Char: 309815376>
Token<Identifier : "psi", Line: 86, Char: 0>
Token<Symbol : ",", Line: 86, Char: 309815376>
Token<Identifier : "chi", Line: 86, Char: 0>
Token<Symbol : ")", Line: 86, Char: 309815376>
Token<Symbol : "{", Line: 87, Char: 309815376>
Token<Keyword : "assume", Line: 88, Char: 0>
Token<Identifier : "is_formula", Line: 88, Char: 0>
Token<Symbol : "(", Line: 88, Char: 309815376>
Token<Symbol : "\", Line: 88, Char: 309815376>
Token<Symbol : "$", Line: 88, Char: 309815376>
Token<Identifier : "phi", Line: 88, Char: 0>
Token<Symbol : "\", Line: 88, Char: 309815376>
Token<Symbol : ")", Line: 88, Char: 309815376>
Token<Symbol : ";", Line: 88, Char: 309815376>
Token<Keyword : "assume", Line: 89, Char: 0>
Token<Identifier : "is_formula", Line: 89, Char: 0>
Token<Symbol : "(", Line: 89, Char: 309815376>
Token<Symbol : "\", Line: 89, Char: 309815376>
Token<Symbol : "$", Line: 89, Char: 309815376>
Token<Identifier : "psi", Line: 89, Char: 0>
Token<Symbol : "\", Line: 89, Char: 309815376>
Token<Symbol : ")", Line: 89, Char: 309815376>
Token<Symbol : ";", Line: 89, Char: 309815376>
Token<Keyword : "assume", Line: 90, Char: 0>
Token<Identifier : "is_formula", Line: 90, Char: 0>
Token<Symbol : "(", Line: 90, Char: 309815376>
Token<Symbol : "\", Line: 90, Char: 309815376>
Token<Symbol : "$", Line: 90, Char: 309815376>
Token<Identifier : "chi", Line: 90, Char: 0>
Token<Symbol : "\", Line: 90, Char: 309815376>
Token<Symbol : ")", Line: 90, Char: 309815376>
Token<Symbol : ";", Line: 90, Char: 309815376>
Token<Keyword : "infer", Line: 92, Char: 0>
Token<Identifier : "has_proof", Line: 92, Char: 0>
Token<Symbol : "(", Line: 92, Char: 309815376>
Token<Symbol : "\", Line: 92, Char: 309815376>
Token<Symbol : "(", Line: 92, Char: 309815376>
Token<Symbol : "(", Line: 92, Char: 309815376>
Token<Symbol : "$", Line: 92, Char: 309815376>
Token<Identifier : "phi", Line: 92, Char: 0>
Token<Identifier : "implies", Line: 92, Char: 0>
Token<Symbol : "(", Line: 92, Char: 309815376>
Token<Symbol : "$", Line: 92, Char: 309815376>
Token<Identifier : "psi", Line: 92, Char: 0>
Token<Identifier : "implies", Line: 92, Char: 0>
Token<Symbol : "$", Line: 92, Char: 309815376>
Token<Identifier : "chi", Line: 92, Char: 0>
Token<Symbol : ")", Line: 92, Char: 309815376>
Token<Symbol : ")", Line: 92, Char: 309815376>
Token<Identifier : "implies", Line: 92, Char: 0>
Token<Symbol : "(", Line: 93, Char: 309815376>
Token<Symbol : "(", Line: 93, Char: 309815376>
Token<Symbol : "$", Line: 93, Char: 309815376>
Token<Identifier : "phi", Line: 93, Char: 0>
Token<Identifier : "implies", Line: 93, Char: 0>
Token<Symbol : "$", Line: 93, Char: 309815376>
Token<Identifier : "psi", Line: 93, Char: 0>
Token<Symbol : ")", Line: 93, Char: 309815376>
Token<Identifier : "implies", Line: 93, Char: 0>
Token<Symbol : "(", Line: 93, Char: 309815376>
Token<Symbol : "$", Line: 93, Char: 309815376>
Token<Identifier : "phi", Line: 93, Char: 0>
Token<Identifier : "implies", Line: 93, Char: 0>
Token<Symbol : "$", Line: 93, Char: 309815376>
Token<Identifier : "chi", Line: 93, Char: 0>
Token<Symbol : ")", Line: 93, Char: 309815376>
Token<Symbol : ")", Line: 93, Char: 309815376>
Token<Symbol : ")", Line: 93, Char: 309815376>
Token<Symbol : "\", Line: 93, Char: 309815376>
Token<Symbol : ")", Line: 93, Char: 309815376>
Token<Symbol : ";", Line: 93, Char: 309815376>
Token<Keyword : "infer", Line: 94, Char: 0>
Token<Identifier : "is_formula", Line: 94, Char: 0>
Token<Symbol : "(", Line: 94, Char: 309815376>
Token<Symbol : "\", Line: 94, Char: 309815376>
Token<Symbol : "(", Line: 94, Char: 309815376>
Token<Symbol : "$", Line: 94, Char: 309815376>
Token<Identifier : "psi", Line: 94, Char: 0>
Token<Identifier : "implies", Line: 94, Char: 0>
Token<Symbol : "$", Line: 94, Char: 309815376>
Token<Identifier : "chi", Line: 94, Char: 0>
Token<Symbol : ")", Line: 94, Char: 309815376>
Token<Symbol : "\", Line: 94, Char: 309815376>
Token<Symbol : ")", Line: 94, Char: 309815376>
Token<Symbol : ";", Line: 94, Char: 309815376>
Token<Keyword : "infer", Line: 95, Char: 0>
Token<Identifier : "is_formula", Line: 95, Char: 0>
Token<Symbol : "(", Line: 95, Char: 309815376>
Token<Symbol : "\", Line: 95, Char: 309815376>
Token<Symbol : "(", Line: 95, Char: 309815376>
Token<Symbol : "$", Line: 95, Char: 309815376>
Token<Identifier : "phi", Line: 95, Char: 0>
Token<Identifier : "implies", Line: 95, Char: 0>
Token<Symbol : "(", Line: 95, Char: 309815376>
Token<Symbol : "$", Line: 95, Char: 309815376>
Token<Identifier : "psi", Line: 95, Char: 0>
Token<Identifier : "implies", Line: 95, Char: 0>
Token<Symbol : "$", Line: 95, Char: 309815376>
Token<Identifier : "chi", Line: 95, Char: 0>
Token<Symbol : ")", Line: 95, Char: 309815376>
Token<Symbol : ")", Line: 95, Char: 309815376>
Token<Symbol : "\", Line: 95, Char: 309815376>
Token<Symbol : ")", Line: 95, Char: 309815376>
Token<Symbol : ";", Line: 95, Char: 309815376>
Token<Keyword : "infer", Line: 96, Char: 0>
Token<Identifier : "is_formula", Line: 96, Char: 0>
Token<Symbol : "(", Line: 96, Char: 309815376>
Token<Symbol : "\", Line: 96, Char: 309815376>
Token<Symbol : "(", Line: 96, Char: 309815376>
Token<Symbol : "$", Line: 96, Char: 309815376>
Token<Identifier : "phi", Line: 96, Char: 0>
Token<Identifier : "implies", Line: 96, Char: 0>
Token<Symbol : "$", Line: 96, Char: 309815376>
Token<Identifier : "psi", Line: 96, Char: 0>
Token<Symbol : ")", Line: 96, Char: 309815376>
Token<Symbol : "\", Line: 96, Char: 309815376>
Token<Symbol : ")", Line: 96, Char: 309815376>
Token<Symbol : ";", Line: 96, Char: 309815376>
Token<Keyword : "infer", Line: 97, Char: 0>
Token<Identifier : "is_formula", Line: 97, Char: 0>
Token<Symbol : "(", Line: 97, Char: 309815376>
Token<Symbol : "\", Line: 97, Char: 309815376>
Token<Symbol : "(", Line: 97, Char: 309815376>
Token<Symbol : "$", Line: 97, Char: 309815376>
Token<Identifier : "phi", Line: 97, Char: 0>
Token<Identifier : "implies", Line: 97, Char: 0>
Token<Symbol : "$", Line: 97, Char: 309815376>
Token<Identifier : "chi", Line: 97, Char: 0>
Token<Symbol : ")", Line: 97, Char: 309815376>
Token<Symbol : "\", Line: 97, Char: 309815376>
Token<Symbol : ")", Line: 97, Char: 309815376>
Token<Symbol : ";", Line: 97, Char: 309815376>
Token<Keyword : "infer", Line: 98, Char: 0>
Token<Identifier : "is_formula", Line: 98, Char: 0>
Token<Symbol : "(", Line: 98, Char: 309815376>
Token<Symbol : "\", Line: 98, Char: 309815376>
Token<Symbol : "(", Line: 98, Char: 309815376>
Token<Symbol : "(", Line: 98, Char: 309815376>
Token<Symbol : "$", Line: 98, Char: 309815376>
Token<Identifier : "phi", Line: 98, Char: 0>
Token<Identifier : "implies", Line: 98, Char: 0>
Token<Symbol : "$", Line: 98, Char: 309815376>
Token<Identifier : "psi", Line: 98, Char: 0>
Token<Symbol : ")", Line: 98, Char: 309815376>
Token<Identifier : "implies", Line: 98, Char: 0>
Token<Symbol : "(", Line: 98, Char: 309815376>
